candidate_id,design_id,design_index,activity_pair,topology,distance_a,doping,angle_deg,variant_id,score,max_force_ev_per_a
9905dc81,x7,7,Glutathione Peroxidase + Oxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,0.7662855346312418,0.0373743284707951
c1a8f5ff,x7,7,Glutathione Peroxidase + Peroxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,0.716533767189964,0.044571238578968
59355fe9,x7,7,Oxidase + Peroxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,0.716533767189964,0.044571238578968
e7823e90,x8,8,Catalase + Glutathione Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7705570951226042,0.0452776861062371
ce640407,x8,8,Catalase + Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7705570951226042,0.0452776861062371
707ba750,x8,8,Catalase + Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7687956350875234,0.0401015337188674
2fd59fe4,x8,8,Glucose Oxidase + Glutathione Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7618758550035506,0.0456651017354856
546a5ac5,x8,8,Glucose Oxidase + Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7618758550035506,0.0456651017354856
743e7dc9,x8,8,Glutathione Peroxidase + Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7442265740494882,0.0487866171239061
62533915,x8,8,Glutathione Peroxidase + Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7425385990968407,0.0439318728532364
fdf94907,x8,8,Oxidase + Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7425385990968407,0.0439318728532364
41f9b430,x8,8,Catalase + Glutathione Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.7442415550185244,0.0425786782323362
8384434b,x8,8,Catalase + Oxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.7442415550185244,0.0425786782323362
ec1fc219,x8,8,Glutathione Peroxidase + Oxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.6856936513620201,0.0445319554623031
2f771f22,x8,8,Glutathione Peroxidase + Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.6678353125968473,0.0481506288060205
50b2bb19,x8,8,Oxidase + Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.6678353125968473,0.0481506288060205
042041a3,x9,9,Glutathione Peroxidase + Oxidase,independent separated,13.0,NS,15,x9_separated_d13.0_ns_a15,0.7246071187606817,0.0489499897212995
0b54c61a,x9,9,Glutathione Peroxidase + Peroxidase,independent separated,13.0,NS,15,x9_separated_d13.0_ns_a15,0.7581283354886068,0.045975618639446
956589f6,x9,9,Oxidase + Peroxidase,independent separated,13.0,NS,15,x9_separated_d13.0_ns_a15,0.7581283354886068,0.045975618639446
a9e31d5e,x12,12,Catalase + Glutathione Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7708651024442542,0.0474276851029011
2c7aacac,x12,12,Catalase + Oxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7708651024442542,0.0474276851029011
f6a53996,x12,12,Catalase + Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7686061435418896,0.0493679385411829
28e1d313,x12,12,Glutathione Peroxidase + Oxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7330025036998372,0.0462584044829098
93feb5ab,x12,12,Glutathione Peroxidase + Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7362679116430233,0.0456204633735634
36b1c272,x12,12,Oxidase + Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7362679116430233,0.0456204633735634
fe2778ad,x12,12,Glucose Oxidase + Glutathione Peroxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7861101076701813,0.0390048386967315
5e70a71e,x12,12,Glucose Oxidase + Oxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7861101076701813,0.0390048386967315
86c9b42d,x12,12,Glutathione Peroxidase + Oxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7751991576771755,0.033960599508075
70a3aabf,x12,12,Glutathione Peroxidase + Peroxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7790965683142885,0.0483842280897297
af170bb7,x12,12,Oxidase + Peroxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7790965683142885,0.0483842280897297
8296035a,x13,13,Glutathione Peroxidase + Peroxidase,independent adjacent,7.0,S,135,x13_adjacent_d7.0_s_a135,0.753472461229598,0.0430667671054679
3379bb89,x13,13,Oxidase + Peroxidase,independent adjacent,7.0,S,135,x13_adjacent_d7.0_s_a135,0.753472461229598,0.0430667671054679
87785d3e,x14,14,Glucose Oxidase + Glutathione Peroxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7717382000676738,0.0491911062102813
f070549b,x14,14,Glucose Oxidase + Oxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7717382000676738,0.0491911062102813
a465dd19,x14,14,Glutathione Peroxidase + Oxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7542325842980877,0.0498908469440307
469b639c,x14,14,Glutathione Peroxidase + Peroxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7270300521489487,0.0466324648413226
84c6fc50,x14,14,Oxidase + Peroxidase,independent adjacent,7.4,NS,15,x14_adjacent_d7.4_ns_a15,0.7270300521489487,0.0466324648413226
60c3b8a7,x14,14,Glutathione Peroxidase + Oxidase,independent separated,10.4,S,15,x14_separated_d10.4_s_a15,0.7168413701931652,0.0482217424112602
023f943c,x15,15,Catalase + Peroxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.7213681534018941,0.0496644291469345
14a1b2af,x15,15,Glutathione Peroxidase + Oxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.6999556574880993,0.0452532368876737
4a58a8b0,x15,15,Glutathione Peroxidase + Peroxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.6951393711521029,0.0498898590767119
c99c7536,x15,15,Oxidase + Peroxidase,independent separated,11.4,N,45,x15_separated_d11.4_n_a45,0.6951393711521029,0.0498898590767119
aad1192f,x16,16,Glucose Oxidase + Glutathione Peroxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.7820164393005788,0.0495856411773396
ff87b8d1,x16,16,Glucose Oxidase + Oxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.7820164393005788,0.0495856411773396
7c1572c8,x16,16,Glutathione Peroxidase + Oxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.7751575607639989,0.0472200086112643
1147bd17,x16,16,Glutathione Peroxidase + Peroxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.779642814544885,0.0391047187442731
d0ee8b98,x16,16,Oxidase + Peroxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.779642814544885,0.0391047187442731
33a6ea13,x16,16,Catalase + Glutathione Peroxidase,independent separated,12.0,N,75,x16_separated_d12.0_n_a75,0.7563008113436678,0.0469176480076517
937196b3,x16,16,Catalase + Oxidase,independent separated,12.0,N,75,x16_separated_d12.0_n_a75,0.7563008113436678,0.0469176480076517
d3b8fed5,x16,16,Glutathione Peroxidase + Oxidase,independent separated,12.0,N,75,x16_separated_d12.0_n_a75,0.7117523110621027,0.0475780214882089
4cce34b2,x17,17,Oxidase + Peroxidase,bridged,7.6,NS,105,x17_bridged_d7.6_ns_a105,0.6719887097721401,0.0486715223939532
e3fd0119,x17,17,Glutathione Peroxidase + Oxidase,independent adjacent,9.2,S,105,x17_adjacent_d9.2_s_a105,0.7589611527281492,0.0498992320306291
e0cd31ae,x17,17,Glutathione Peroxidase + Peroxidase,independent adjacent,9.2,S,105,x17_adjacent_d9.2_s_a105,0.7657656944558495,0.0494346510256475
9557875a,x17,17,Oxidase + Peroxidase,independent adjacent,9.2,S,105,x17_adjacent_d9.2_s_a105,0.7657656944558495,0.0494346510256475
83ccba7e,x17,17,Catalase + Peroxidase,independent separated,13.0,NS,105,x17_separated_d13.0_ns_a105,0.7674268704995748,0.0499165562112098
324f14f5,x17,17,Glutathione Peroxidase + Peroxidase,independent separated,13.0,NS,105,x17_separated_d13.0_ns_a105,0.7610213236926583,0.0400481082038799
77a7b144,x17,17,Oxidase + Peroxidase,independent separated,13.0,NS,105,x17_separated_d13.0_ns_a105,0.7610213236926583,0.0400481082038799
a009cc05,x19,19,Glutathione Peroxidase + Oxidase,independent adjacent,10.4,N,15,x19_adjacent_d10.4_n_a15,0.7356466239051384,0.0499921761899505
8de672d0,x19,19,Glutathione Peroxidase + Oxidase,independent separated,14.6,N,15,x19_separated_d14.6_n_a15,0.7028794989734736,0.0482526815281951
ab534c30,x19,19,Glutathione Peroxidase + Peroxidase,independent separated,14.6,N,15,x19_separated_d14.6_n_a15,0.7050384689857184,0.0486279128311497
0f467492,x19,19,Oxidase + Peroxidase,independent separated,14.6,N,15,x19_separated_d14.6_n_a15,0.7050384689857184,0.0486279128311497
c134acbe,x20,20,Catalase + Glutathione Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7261656092063944,0.0389914028654469
ed63c308,x20,20,Catalase + Oxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7261656092063944,0.0389914028654469
89743efe,x20,20,Catalase + Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7281605783901766,0.0376382113057904
10881684,x20,20,Glutathione Peroxidase + Oxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.6990580851591767,0.045796298078177
cb6a0baf,x20,20,Glutathione Peroxidase + Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7014018834997138,0.0498407819570961
a164ecde,x20,20,Oxidase + Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7014018834997138,0.0498407819570961
8828f789,x20,20,Catalase + Glutathione Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7702264809970791,0.0364550401651696
7dbb8378,x20,20,Catalase + Oxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7702264809970791,0.0364550401651696
52e70cee,x20,20,Catalase + Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7688037411069062,0.0457597118710252
445ecd99,x20,20,Glucose Oxidase + Glutathione Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7643492601885404,0.0430888824771564
ac78230b,x20,20,Glucose Oxidase + Oxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7643492601885404,0.0430888824771564
97a889c9,x20,20,Glutathione Peroxidase + Oxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7457705692235291,0.04079836591388
40a34f3b,x20,20,Glutathione Peroxidase + Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7441726411084308,0.0485155991340531
f7a85d5f,x20,20,Oxidase + Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7441726411084308,0.0485155991340531
6b6d60b0,x21,21,Catalase + Oxidase,bridged,5.8,NS,75,x21_bridged_d5.8_ns_a75,0.7709690848808621,0.0496302428344888
babc42dd,x21,21,Oxidase + Peroxidase,bridged,5.8,NS,75,x21_bridged_d5.8_ns_a75,0.7046797261273935,0.046952550000309
383785f2,x21,21,Catalase + Glutathione Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7523595840883148,0.0487899422916002
1be9a0ce,x21,21,Catalase + Oxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7523595840883148,0.0487899422916002
f7128d92,x21,21,Catalase + Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7867869847664679,0.0397976538119046
242dc5ee,x21,21,Glutathione Peroxidase + Oxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.686118164765252,0.0440248346278759
041d77dd,x21,21,Glutathione Peroxidase + Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7128336754291368,0.0440221198446846
e20f356a,x21,21,Oxidase + Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7128336754291368,0.0440221198446846
c3d7b2be,x23,23,Catalase + Glutathione Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7274134908585247,0.0463153847320424
3c24a739,x23,23,Catalase + Oxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7274134908585247,0.0463153847320424
e05e0274,x23,23,Glucose Oxidase + Glutathione Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7244439484006586,0.046945396363707
2eb65b9e,x23,23,Glucose Oxidase + Oxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7244439484006586,0.046945396363707
77b47a61,x23,23,Glutathione Peroxidase + Oxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.6978692634012092,0.0457559273028352
9b19eaa6,x23,23,Glutathione Peroxidase + Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.6929325984771351,0.0403223690585662
f35b0148,x23,23,Oxidase + Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.6929325984771351,0.0403223690585662
a85ddc11,x24,24,Catalase + Glutathione Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7511612657312534,0.0457318593784649
df57707f,x24,24,Catalase + Oxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7511612657312534,0.0457318593784649
d90a3cfc,x24,24,Catalase + Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.791822499500259,0.0434643230900344
1254576c,x24,24,Glutathione Peroxidase + Oxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7410842145218415,0.0413801782365245
d5e32805,x24,24,Glutathione Peroxidase + Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7812096909741286,0.0473086989042248
2683d752,x24,24,Oxidase + Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7812096909741286,0.0473086989042248
7092a769,x24,24,Glutathione Peroxidase + Peroxidase,independent separated,12.0,N,15,x24_separated_d12.0_n_a15,0.6724725945384546,0.0475514610694481
3e66ea84,x24,24,Oxidase + Peroxidase,independent separated,12.0,N,15,x24_separated_d12.0_n_a15,0.6724725945384546,0.0475514610694481
ee0eb0b5,x25,25,Glutathione Peroxidase + Oxidase,independent separated,13.0,NS,45,x25_separated_d13.0_ns_a45,0.7570233351841287,0.037652443875212
71c3c53b,x25,25,Glutathione Peroxidase + Peroxidase,independent separated,13.0,NS,45,x25_separated_d13.0_ns_a45,0.7435641033269726,0.0497534533709731
a74f064d,x25,25,Oxidase + Peroxidase,independent separated,13.0,NS,45,x25_separated_d13.0_ns_a45,0.7435641033269726,0.0497534533709731
fa9ef7ad,x26,26,Catalase + Oxidase,bridged,8.0,S,75,x26_bridged_d8.0_s_a75,0.7524928501066004,0.0477210657274509
d2bbcd7f,x26,26,Catalase + Peroxidase,bridged,8.0,S,75,x26_bridged_d8.0_s_a75,0.7753719626912299,0.0484055634069378
59aeabf7,x26,26,Catalase + Glutathione Peroxidase,independent adjacent,9.8,NS,75,x26_adjacent_d9.8_ns_a75,0.7412085278110538,0.0487899422916002
e5e8e310,x26,26,Catalase + Oxidase,independent adjacent,9.8,NS,75,x26_adjacent_d9.8_ns_a75,0.7412085278110538,0.0487899422916002
61225ae4,x26,26,Catalase + Peroxidase,independent adjacent,9.8,NS,75,x26_adjacent_d9.8_ns_a75,0.7833346161882045,0.0397976538119046
9fb993e8,x26,26,Glutathione Peroxidase + Oxidase,independent adjacent,9.8,NS,75,x26_adjacent_d9.8_ns_a75,0.6656792780000343,0.0440248346278759
ee1f8cc5,x26,26,Glutathione Peroxidase + Peroxidase,independent adjacent,9.8,NS,75,x26_adjacent_d9.8_ns_a75,0.6941405313674515,0.0440221198446846
c6ac076d,x26,26,Oxidase + Peroxidase,independent adjacent,9.8,NS,75,x26_adjacent_d9.8_ns_a75,0.6941405313674515,0.0440221198446846
c7f76d94,x27,27,Oxidase + Peroxidase,bridged,8.4,N,105,x27_bridged_d8.4_n_a105,0.6811256034097285,0.0489506323398454
e717fb24,x28,28,Catalase + Glutathione Peroxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7385765081047128,0.0332909161674527
18ccc8e9,x28,28,Catalase + Oxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7385765081047128,0.0332909161674527
bdb12ce6,x28,28,Catalase + Peroxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7426079971318559,0.0499195968952458
988b93aa,x28,28,Glucose Oxidase + Glutathione Peroxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7405103242104998,0.0452724004139536
7a476de9,x28,28,Glucose Oxidase + Oxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7405103242104998,0.0452724004139536
f2c6aa9d,x28,28,Glutathione Peroxidase + Oxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7124060545254851,0.0471249270641901
b8a00c0a,x28,28,Glutathione Peroxidase + Peroxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7125551497921899,0.0483332662305884
fae232f3,x28,28,Oxidase + Peroxidase,independent adjacent,6.2,N,135,x28_adjacent_d6.2_n_a135,0.7125551497921899,0.0483332662305884
b677be09,x28,28,Catalase + Glutathione Peroxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7706272256571214,0.0452776861062371
b5550f00,x28,28,Catalase + Oxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7706272256571214,0.0452776861062371
8ae50da4,x28,28,Catalase + Peroxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7689043755337874,0.0401015337188674
132e39e4,x28,28,Glucose Oxidase + Glutathione Peroxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7649933010407961,0.0456651017354856
4748ee82,x28,28,Glucose Oxidase + Oxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7649933010407961,0.0456651017354856
ebc51ce1,x28,28,Glutathione Peroxidase + Oxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7453663345578551,0.0487866171239061
532e640a,x28,28,Glutathione Peroxidase + Peroxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7435252140757866,0.0439318728532364
c8fcefa5,x28,28,Oxidase + Peroxidase,independent separated,8.8,N,135,x28_separated_d8.8_n_a135,0.7435252140757866,0.0439318728532364
408e19b5,x29,29,Catalase + Oxidase,bridged,5.8,NS,15,x29_bridged_d5.8_ns_a15,0.6753025469151679,0.0374415220263801
bb757de5,x29,29,Catalase + Peroxidase,bridged,5.8,NS,15,x29_bridged_d5.8_ns_a15,0.7184831787416256,0.0490371772207585
030c3780,x29,29,Oxidase + Peroxidase,bridged,5.8,NS,15,x29_bridged_d5.8_ns_a15,0.6669747445875274,0.0472132861697117
92db5883,x29,29,Glutathione Peroxidase + Oxidase,independent separated,9.8,NS,15,x29_separated_d9.8_ns_a15,0.7307835530238193,0.0439724248177501
ba68d7b7,x30,30,Catalase + Glutathione Peroxidase,independent adjacent,7.4,NS,45,x30_adjacent_d7.4_ns_a45,0.7309378693994157,0.0388849189125755
5685d8a5,x30,30,Catalase + Oxidase,independent adjacent,7.4,NS,45,x30_adjacent_d7.4_ns_a45,0.7309378693994157,0.0388849189125755
9896e450,x30,30,Glutathione Peroxidase + Oxidase,independent adjacent,7.4,NS,45,x30_adjacent_d7.4_ns_a45,0.657685462878245,0.0398201484965231
303a8d4e,x30,30,Glutathione Peroxidase + Peroxidase,independent adjacent,7.4,NS,45,x30_adjacent_d7.4_ns_a45,0.6809653039314163,0.0446211754151681
6f8d0650,x30,30,Oxidase + Peroxidase,independent adjacent,7.4,NS,45,x30_adjacent_d7.4_ns_a45,0.6809653039314163,0.0446211754151681
6b310cc8,x30,30,Catalase + Peroxidase,independent separated,10.4,S,45,x30_separated_d10.4_s_a45,0.7755359127138295,0.0448720241379468
b876b6fa,x30,30,Glutathione Peroxidase + Oxidase,independent separated,10.4,S,45,x30_separated_d10.4_s_a45,0.7583719685189557,0.039843506385257
e0e929e4,x30,30,Glutathione Peroxidase + Peroxidase,independent separated,10.4,S,45,x30_separated_d10.4_s_a45,0.7564669687445065,0.0397442283608387
b210dff4,x30,30,Oxidase + Peroxidase,independent separated,10.4,S,45,x30_separated_d10.4_s_a45,0.7564669687445065,0.0397442283608387
234243b6,x33,33,Catalase + Glucose Oxidase,independent separated,13.0,NS,135,x33_separated_d13.0_ns_a135,0.7934769385133338,0.0470376131005629
1598f4df,x33,33,Catalase + Glutathione Peroxidase,independent separated,13.0,NS,135,x33_separated_d13.0_ns_a135,0.7892656161072762,0.0435283120729684
f29e0fdd,x33,33,Catalase + Glutathione Peroxidase,independent separated,13.0,NS,135,x33_separated_d13.0_ns_a135,0.7895708925663723,0.0462163296219865
655701ab,x33,33,Catalase + Oxidase,independent separated,13.0,NS,135,x33_separated_d13.0_ns_a135,0.7892656161072762,0.0435283120729684
58cd208d,x33,33,Catalase + Peroxidase,independent separated,13.0,NS,135,x33_separated_d13.0_ns_a135,0.7892656161072762,0.0435283120729684
54778a08,x33,33,Glutathione Peroxidase + Oxidase,independent separated,13.0,NS,135,x33_separated_d13.0_ns_a135,0.7325694922599312,0.0341464692057766
2df232c8,x33,33,Glutathione Peroxidase + Peroxidase,independent separated,13.0,NS,135,x33_separated_d13.0_ns_a135,0.7325694922599312,0.0341464692057766
76727a58,x37,37,Catalase + Glutathione Peroxidase,independent separated,9.8,NS,105,x37_separated_d9.8_ns_a105,0.7818906909588861,0.0470047496629781
d8167640,x37,37,Catalase + Glutathione Peroxidase,independent separated,9.8,NS,105,x37_separated_d9.8_ns_a105,0.7838231983044139,0.0445318983202203
21438f1d,x37,37,Catalase + Oxidase,independent separated,9.8,NS,105,x37_separated_d9.8_ns_a105,0.7818906909588861,0.0470047496629781
