activity,n,adsorption_q25,adsorption_median,adsorption_q75,activation_q25,activation_median,activation_q75,zero_activation_count
Catalase,120,0.2053890445912429,0.37383169128088406,0.7940937608008198,1.6764811203136105,2.529907039034015,3.404373222969525,1
DNase,1,1.82354957660948,1.82354957660948,1.82354957660948,2.8916888151552484,2.8916888151552484,2.8916888151552484,0
Glucose Oxidase,82,-0.0759343134055825,0.3332291689930571,0.999542749032571,0.0,0.3833551735810943,1.1375267021987838,32
Glutathione Peroxidase,154,1.6519272639773135,1.9256691192290418,2.3768773936537855,1.2650187468198055,2.4573795376204544,3.7356708925906337,19
Oxidase,174,-1.1157976770398363,-0.897202331576409,-0.6749280001124021,0.0,0.0,0.1116562181961171,125
Peroxidase,168,0.26364766182530275,0.40350735948686633,0.932149695991825,0.0,1.0429116072491524,1.434174421494049,53
