profile_id,candidate_id,design_id,design_index,activity_pair,activity,partner_activity,topology,distance_a,doping,angle_deg,variant_id,selected_method,adsorption_energy_ev,activation_metric_ev,reaction_energy_ev,scan_energy_range_ev,frame_count,converged_frames,score,max_force_ev_per_a
e7b2f3b3_catalase,e7b2f3b3,x1,1,Catalase + Peroxidase,Catalase,Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN1 SCF fallback,-0.0542835600085709,3.9188440283332966,3.9188440283332966,3.9188440283332966,5,5,0.7455198040700709,0.0481057056730953
e7b2f3b3_peroxidase,e7b2f3b3,x1,1,Catalase + Peroxidase,Peroxidase,Catalase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,GFN1 SCF fallback,-0.0075450582721714,2.381427209766116,2.381427209766116,2.381427209766116,5,5,0.7455198040700709,0.0481057056730953
1b0b26e4_catalase,1b0b26e4,x3,3,Catalase + Oxidase,Catalase,Oxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,GFN1 SCF fallback,0.0641762686259426,3.5981280776495623,3.5981280776495623,3.5981280776495623,5,5,0.7653463437789314,0.0430216253149462
1b0b26e4_oxidase,1b0b26e4,x3,3,Catalase + Oxidase,Oxidase,Catalase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,First pass,-0.5170424473351432,0.0,-2.827281842152388,3.093407874483546,5,5,0.7653463437789314,0.0430216253149462
621e0bc1_oxidase,621e0bc1,x3,3,Oxidase + Peroxidase,Oxidase,Peroxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,First pass,-0.4152582246758811,0.0,-3.760894614636072,4.563446473914155,5,5,0.6946835509203725,0.0389674254478558
621e0bc1_peroxidase,621e0bc1,x3,3,Oxidase + Peroxidase,Peroxidase,Oxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,GFN1 SCF fallback,0.8353534764082724,0.8705069272564288,-2.2438011679851115,3.1143080952415403,5,5,0.6946835509203725,0.0389674254478558
74820a79_catalase,74820a79,x3,3,Catalase + Glutathione Peroxidase,Catalase,Glutathione Peroxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,GFN1 SCF fallback,0.0641762686273068,3.597111682209743,3.597111682209743,3.597111682209743,5,5,0.7653463437789314,0.0430216253149462
74820a79_glutathione_peroxidase,74820a79,x3,3,Catalase + Glutathione Peroxidase,Glutathione Peroxidase,Catalase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,GFN1 extended,1.7021059180124212,2.5352444308937265,-2.282524567831388,5.698132166958203,5,5,0.7653463437789314,0.0430216253149462
79bd3431_oxidase,79bd3431,x3,3,Oxidase + Peroxidase,Oxidase,Peroxidase,bridged,6.4,N,60,x3_bridged_d6.4_n_a60,GFN2 deep,-1.5824995537716404,0.0,-2.1437261514420243,2.354187835520861,5,5,0.7051231967071525,0.0349693092963347
79bd3431_peroxidase,79bd3431,x3,3,Oxidase + Peroxidase,Peroxidase,Oxidase,bridged,6.4,N,60,x3_bridged_d6.4_n_a60,GFN1 extended,0.1686219355324283,0.0,-4.934731299409577,4.934731299409577,5,5,0.7051231967071525,0.0349693092963347
92567ba7_catalase,92567ba7,x3,3,Catalase + Oxidase,Catalase,Oxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,GFN1 SCF fallback,0.0641762686273068,3.5971665718088843,3.5971665718088843,3.5971665718088843,5,5,0.7653463437789314,0.0430216253149462
92567ba7_oxidase,92567ba7,x3,3,Catalase + Oxidase,Oxidase,Catalase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,First pass,-0.5170424473351432,0.0,-2.827281835501708,3.0934078671321004,5,5,0.7653463437789314,0.0430216253149462
bae713d7_catalase,bae713d7,x3,3,Catalase + Glutathione Peroxidase,Catalase,Glutathione Peroxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,GFN1 SCF fallback,0.0641762686259426,3.597159113939597,3.597159113939597,3.597159113939597,5,5,0.7653463437789314,0.0430216253149462
bae713d7_glutathione_peroxidase,bae713d7,x3,3,Catalase + Glutathione Peroxidase,Glutathione Peroxidase,Catalase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,GFN2 deep,1.638263682701563,0.0,-2.6246559408755274,3.59811120604536,5,5,0.7653463437789314,0.0430216253149462
c8f96ba2_glutathione_peroxidase,c8f96ba2,x3,3,Glutathione Peroxidase + Oxidase,Glutathione Peroxidase,Oxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,GFN2 deep,1.0249515569657888,3.2465360303895068,-2.2144095237708825,6.061203462350932,5,5,0.7556549762740412,0.048332979993451
c8f96ba2_oxidase,c8f96ba2,x3,3,Glutathione Peroxidase + Oxidase,Oxidase,Glutathione Peroxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,First pass,-0.5165097604788116,0.0,-2.8227479574088647,3.088984025025184,5,5,0.7556549762740412,0.048332979993451
dc3ed49f_glutathione_peroxidase,dc3ed49f,x3,3,Glutathione Peroxidase + Oxidase,Glutathione Peroxidase,Oxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,GFN2 deep,0.6021671871271792,2.1416902279961505,-7.908814717517089,10.05050494551324,5,5,0.7097484332249873,0.0486597961115704
dc3ed49f_oxidase,dc3ed49f,x3,3,Glutathione Peroxidase + Oxidase,Oxidase,Glutathione Peroxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,First pass,-0.6739032795887852,0.0,-1.4648203053611724,1.4648203053611724,5,5,0.7097484332249873,0.0486597961115704
e2ca81a4_glutathione_peroxidase,e2ca81a4,x3,3,Glutathione Peroxidase + Peroxidase,Glutathione Peroxidase,Peroxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,GFN2 deep,0.6049678938652505,2.1169293883467617,-3.5321454343111327,8.264258508566854,5,5,0.6946835509203725,0.0389674254478558
e2ca81a4_peroxidase,e2ca81a4,x3,3,Glutathione Peroxidase + Peroxidase,Peroxidase,Glutathione Peroxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,GFN1 SCF fallback,0.8353534764078177,0.8704580349894968,-2.243285758030652,3.1137437930201486,5,5,0.6946835509203725,0.0389674254478558
66070cb5_catalase,66070cb5,x4,4,Catalase + Peroxidase,Catalase,Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 SCF fallback,0.1172009822580548,3.969692633048908,3.969692633048908,3.969692633048908,5,5,0.7923333133583658,0.0434656004551842
66070cb5_peroxidase,66070cb5,x4,4,Catalase + Peroxidase,Peroxidase,Catalase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 extended,0.4044216645916094,1.2816162318263196,-4.0716393359953145,5.353255567821634,5,5,0.7923333133583658,0.0434656004551842
82300d54_glutathione_peroxidase,82300d54,x4,4,Glutathione Peroxidase + Oxidase,Glutathione Peroxidase,Oxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 extended,1.942907159405422,5.557792600347057,5.557792600347057,5.557792600347057,5,5,0.7442506202022177,0.0413788297752209
82300d54_oxidase,82300d54,x4,4,Glutathione Peroxidase + Oxidase,Oxidase,Glutathione Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN2 deep,-0.9025704032681006,0.0,-0.2157574759144154,0.5675552642487673,5,5,0.7442506202022177,0.0413788297752209
96ae2701_oxidase,96ae2701,x4,4,Oxidase + Peroxidase,Oxidase,Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN2 deep,-0.704653219212787,0.4181503559398152,-0.911616951264932,1.3297673072047471,5,5,0.7816197195716977,0.0473287568348481
96ae2701_peroxidase,96ae2701,x4,4,Oxidase + Peroxidase,Peroxidase,Oxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 extended,0.4035075858200798,1.257362397986526,-4.069860984481693,5.327223382468219,5,5,0.7816197195716977,0.0473287568348481
976aa64b_glutathione_peroxidase,976aa64b,x4,4,Glutathione Peroxidase + Peroxidase,Glutathione Peroxidase,Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 SCF fallback,1.9425128363368456,3.853862800237948,3.853862800237948,6.564658494752621,5,5,0.7816197195716977,0.0473287568348481
976aa64b_peroxidase,976aa64b,x4,4,Glutathione Peroxidase + Peroxidase,Peroxidase,Glutathione Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 extended,0.4035075858173513,1.2573472735689393,-2.8928132632559027,4.150160536824842,5,5,0.7816197195716977,0.0473287568348481
ad1d6912_catalase,ad1d6912,x4,4,Catalase + Glutathione Peroxidase,Catalase,Glutathione Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 SCF fallback,0.1259521667939225,4.084498057720793,4.084498057720793,4.084498057720793,5,5,0.7546373938118777,0.0457322307151332
ad1d6912_glutathione_peroxidase,ad1d6912,x4,4,Catalase + Glutathione Peroxidase,Glutathione Peroxidase,Catalase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN2 deep,1.671374167644899,1.728710257802959,0.2350055923980107,1.728710257802959,5,5,0.7546373938118777,0.0457322307151332
