profile_id,activity,topology,adsorption_energy_ev,activation_metric_ev
153f6b8a_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,0.8974036926078952,2.9269983685808256
153f6b8a_oxidase,Oxidase,independent adjacent,-1.3103122103391345,0.0858404440991762
1d195702_catalase,Catalase,bridged,0.3003257497221057,2.845646928104543
1d195702_peroxidase,Peroxidase,bridged,0.3187377558851949,2.1252858670122805
46832d83_catalase,Catalase,independent adjacent,-0.0525087447158512,3.8393147243868953
46832d83_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,1.6425055856302606,6.883357615666682
7a2c1624_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,2.416409390832996,4.551912017238465
7a2c1624_peroxidase,Peroxidase,independent adjacent,-0.5392103145077272,2.5743355534336843
7d6533e7_oxidase,Oxidase,independent adjacent,-0.6792103027935354,0.0
7d6533e7_peroxidase,Peroxidase,independent adjacent,-0.5392103145095462,1.826561811009924
8195ee9a_catalase,Catalase,bridged,0.3003257497248341,2.847685966510653
8195ee9a_peroxidase,Peroxidase,bridged,0.3187377558861044,0.7386973383881923
983be37c_catalase,Catalase,independent adjacent,-0.0542835600090256,3.915161658143006
983be37c_peroxidase,Peroxidase,independent adjacent,-0.0075450582739904,2.3815879208777915
9ec561f2_catalase,Catalase,independent adjacent,-0.0525087447158512,3.838158073052455
9ec561f2_oxidase,Oxidase,independent adjacent,-1.1055393862559413,0.0
b36787b1_catalase,Catalase,independent adjacent,-0.0525087447158512,3.845479150040319
b36787b1_oxidase,Oxidase,independent adjacent,-1.105539386256396,0.0
c026116f_catalase,Catalase,independent adjacent,-0.0525087447135774,3.837709708110197
c026116f_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,1.6771986583480611,1.2626081634407456
e7b2f3b3_catalase,Catalase,independent adjacent,-0.0542835600085709,3.9188440283332966
e7b2f3b3_peroxidase,Peroxidase,independent adjacent,-0.0075450582721714,2.381427209766116
1b0b26e4_catalase,Catalase,independent separated,0.0641762686259426,3.5981280776495623
1b0b26e4_oxidase,Oxidase,independent separated,-0.5170424473351432,0.0
621e0bc1_oxidase,Oxidase,independent adjacent,-0.4152582246758811,0.0
621e0bc1_peroxidase,Peroxidase,independent adjacent,0.8353534764082724,0.8705069272564288
74820a79_catalase,Catalase,independent separated,0.0641762686273068,3.597111682209743
74820a79_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.7021059180124212,2.5352444308937265
79bd3431_oxidase,Oxidase,bridged,-1.5824995537716404,0.0
79bd3431_peroxidase,Peroxidase,bridged,0.1686219355324283,0.0
92567ba7_catalase,Catalase,independent separated,0.0641762686273068,3.5971665718088843
92567ba7_oxidase,Oxidase,independent separated,-0.5170424473351432,0.0
bae713d7_catalase,Catalase,independent separated,0.0641762686259426,3.597159113939597
bae713d7_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.638263682701563,0.0
c8f96ba2_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.0249515569657888,3.2465360303895068
c8f96ba2_oxidase,Oxidase,independent separated,-0.5165097604788116,0.0
dc3ed49f_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,0.6021671871271792,2.1416902279961505
dc3ed49f_oxidase,Oxidase,independent adjacent,-0.6739032795887852,0.0
e2ca81a4_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,0.6049678938652505,2.1169293883467617
e2ca81a4_peroxidase,Peroxidase,independent adjacent,0.8353534764078177,0.8704580349894968
66070cb5_catalase,Catalase,independent separated,0.1172009822580548,3.969692633048908
66070cb5_peroxidase,Peroxidase,independent separated,0.4044216645916094,1.2816162318263196
82300d54_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.942907159405422,5.557792600347057
82300d54_oxidase,Oxidase,independent separated,-0.9025704032681006,0.0
96ae2701_oxidase,Oxidase,independent separated,-0.704653219212787,0.4181503559398152
96ae2701_peroxidase,Peroxidase,independent separated,0.4035075858200798,1.257362397986526
976aa64b_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.9425128363368456,3.853862800237948
976aa64b_peroxidase,Peroxidase,independent separated,0.4035075858173513,1.2573472735689393
ad1d6912_catalase,Catalase,independent separated,0.1259521667939225,4.084498057720793
ad1d6912_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.671374167644899,1.728710257802959
c5946ea0_catalase,Catalase,independent separated,0.1259521667939225,4.078539454685142
c5946ea0_oxidase,Oxidase,independent separated,-0.9033381468368588,0.0
827a743e_glucose_oxidase,Glucose Oxidase,independent adjacent,2.470525747809233,2.2851754383236766
