candidate_id,topology,distance_a,doping,angle_deg
132e39e4,independent separated,8.8,N,135
4748ee82,independent separated,8.8,N,135
ebc51ce1,independent separated,8.8,N,135
532e640a,independent separated,8.8,N,135
c8fcefa5,independent separated,8.8,N,135
408e19b5,bridged,5.8,NS,15
bb757de5,bridged,5.8,NS,15
030c3780,bridged,5.8,NS,15
92db5883,independent separated,9.8,NS,15
ba68d7b7,independent adjacent,7.4,NS,45
5685d8a5,independent adjacent,7.4,NS,45
9896e450,independent adjacent,7.4,NS,45
303a8d4e,independent adjacent,7.4,NS,45
6f8d0650,independent adjacent,7.4,NS,45
6b310cc8,independent separated,10.4,S,45
b876b6fa,independent separated,10.4,S,45
e0e929e4,independent separated,10.4,S,45
b210dff4,independent separated,10.4,S,45
234243b6,independent separated,13.0,NS,135
1598f4df,independent separated,13.0,NS,135
f29e0fdd,independent separated,13.0,NS,135
655701ab,independent separated,13.0,NS,135
58cd208d,independent separated,13.0,NS,135
54778a08,independent separated,13.0,NS,135
2df232c8,independent separated,13.0,NS,135
76727a58,independent separated,9.8,NS,105
d8167640,independent separated,9.8,NS,105
21438f1d,independent separated,9.8,NS,105
9502397a,independent separated,9.8,NS,105
66a9e1fa,independent separated,11.4,N,15
0c47f082,independent adjacent,9.2,S,75
a23c7a6c,independent adjacent,9.2,S,75
8b06e731,independent adjacent,9.2,S,75
ebe06968,independent adjacent,9.2,S,75
12d32dab,independent adjacent,9.2,S,75
16e7f330,independent adjacent,9.2,S,75
742aba40,independent adjacent,9.2,S,75
b5aad8dd,independent adjacent,9.2,S,75
730b9385,independent adjacent,9.2,S,75
ea2c7ef2,independent adjacent,9.2,S,75
18413b3e,independent adjacent,9.2,S,75
16da8ca8,independent adjacent,9.2,S,75
07be8be8,independent adjacent,9.2,S,75
35496c33,independent adjacent,9.2,S,75
53689eb8,independent adjacent,9.2,S,75
d0e763c5,independent adjacent,9.2,S,75
0d026db6,independent adjacent,9.2,S,75
1ee7d713,independent adjacent,9.2,S,75
64928548,independent adjacent,9.2,S,75
e6496c02,independent adjacent,9.2,S,75
3fc90a7e,independent separated,13.0,NS,75
4536cfb5,independent separated,13.0,NS,75
c78f0cb3,independent separated,13.0,NS,75
e079d280,independent separated,13.0,NS,75
0a4850cd,independent separated,13.0,NS,75
2cef1d32,independent separated,13.0,NS,75
449c2453,independent separated,13.0,NS,75
debc04c4,independent separated,13.0,NS,75
04e048d9,independent separated,13.0,NS,75
6e25a9f2,independent separated,13.0,NS,75
74c8179e,independent separated,13.0,NS,75
f7e729b9,independent separated,13.0,NS,75
1cbd79d8,independent separated,13.0,NS,75
278270c5,independent separated,13.0,NS,75
4a583596,independent separated,13.0,NS,75
b0d27180,independent separated,13.0,NS,75
0f96c07e,independent separated,13.0,NS,75
2c11e785,independent separated,13.0,NS,75
73dc09b5,independent separated,13.0,NS,75
ecd634a6,independent separated,13.0,NS,75
4442f5f8,independent separated,13.0,NS,75
82135a5e,independent separated,13.0,NS,75
ac79c6bc,independent separated,13.0,NS,75
efb03ea5,independent separated,13.0,NS,75
1205c5f3,independent separated,13.0,NS,75
4adfaf8a,independent separated,13.0,NS,75
